92|12/05/15|A|15|00|6578||00104603100000063000|335.16|00054076
93|12/05/15|A|07|31|6578||335.16|0.00|00054076
94|12/05/15|A|15|00|6578||00104603100000063800|418.96|00054077
95|12/05/15|A|07|31|6578||418.96|0.00|00054077
96|12/05/15|A|15|00|6578||00104603100000082500|426.00|00054078
97|12/05/15|A|07|31|6578||426.00|0.00|00054078
98|12/05/15|A|15|00|6578||00104603100000082700|1,300.00|00054079
99|12/05/15|A|07|31|6578||1,300.00|0.00|00054079
100|12/05/15|A|15|00|6578||00104603100000082600|426.42|00054080
101|12/05/15|A|07|31|6578||426.42|0.00|00054080
102|12/05/15|A|15|00|6578||00104603100000082800|426.42|00054081
103|12/05/15|A|07|31|6578||426.42|0.00|00054081
104|12/05/15|A|15|00|6578||00104603100000082900|426.42|00054082
105|12/05/15|A|07|31|6578||426.42|0.00|00054082
106|12/05/15|A|15|00|6578||00104603100000068300|587.00|00054178
107|12/05/15|A|07|31|6578||587.00|0.00|00054178
108|12/05/15|A|15|00|6578||00104603100000054300|1,100.00|00054208
109|12/05/15|A|07|31|6578||1,100.00|0.00|00054208
110|12/05/15|A|15|00|6578||00104603100000085100|418.96|00054220
111|12/05/15|A|07|31|6578||418.96|0.00|00054220
112|12/05/15|A|15|00|6608||00104603100000068100|419.00|00068436
113|12/05/15|A|07|31|6608||419.00|0.00|00068436
114|12/05/15|A|15|00|6608||00102203100000095900|418.96|00068513
115|12/05/15|A|07|31|6608||418.96|0.00|00068513
116|12/05/15|A|15|00|6608||00102203100000095600|251.38|00068514
117|12/05/15|A|07|31|6608||251.38|0.00|00068514
118|12/05/15|A|15|00|6608||00102203100000095800|251.38|00068515
119|12/05/15|A|07|31|6608||251.38|0.00|00068515
120|12/05/15|A|15|00|292||00101703100000029400|418.96|00091266
121|12/05/15|A|07|31|292||418.96|0.00|00091266
122|12/05/15|A|15|00|292||00101703100000029200|418.96|00091270
123|12/05/15|A|07|31|292||418.96|0.00|00091270
124|12/05/15|A|15|00|292||00101703100000029900|502.74|00091272
125|12/05/15|A|07|31|292||502.74|0.00|00091272
126|12/05/15|A|15|00|292||00101703100000029600|418.96|00091275
